,experiment,instance,option,batch,iter,dist_plm,dist_ple
0,force2vec,com-Youtube,VX-sigmoid-rw,1024,1000,17963121.06092412,14553082.95461952
1,force2vec,com-Youtube,VX-sigmoid-rw,1024,2000,18023083.920993134,14604560.794012574
2,force2vec,com-Youtube,VX-sigmoid-rw,1024,500,18345339.786426254,14861977.775948016
3,force2vec,com-Youtube,VX-sigmoid-rw,1024,5000,18144736.108146016,14699487.497538308
4,force2vec,com-Youtube,VX-sigmoid-rw,16384,1000,17600613.662524294,14258438.941687254
5,force2vec,com-Youtube,VX-sigmoid-rw,16384,2000,17696956.769630775,14338767.32387712
6,force2vec,com-Youtube,VX-sigmoid-rw,16384,500,18001045.616675567,14579416.320534192
7,force2vec,com-Youtube,VX-sigmoid-rw,16384,5000,17828528.001985308,14444954.470485738
8,force2vec,com-Youtube,VX-sigmoid-rw,2048,1000,17869823.00516287,14475056.799766755
9,force2vec,com-Youtube,VX-sigmoid-rw,2048,2000,17926787.326229006,14521634.382404156
10,force2vec,com-Youtube,VX-sigmoid-rw,2048,500,18260510.665846273,14787360.922051227
11,force2vec,com-Youtube,VX-sigmoid-rw,2048,5000,18045129.110627253,14618176.975067995
12,force2vec,com-Youtube,VX-sigmoid-rw,256,1000,18075255.465136226,14646789.206211295
13,force2vec,com-Youtube,VX-sigmoid-rw,256,2000,18126582.62963586,14686953.792322073
14,force2vec,com-Youtube,VX-sigmoid-rw,256,500,18432122.264623616,14932405.62419866
15,force2vec,com-Youtube,VX-sigmoid-rw,256,5000,18242825.186698314,14782581.58728018
16,force2vec,com-Youtube,VX-sigmoid-rw,32768,1000,17542142.80508678,14213034.223742109
17,force2vec,com-Youtube,VX-sigmoid-rw,32768,2000,17596887.15665164,14258375.247468062
18,force2vec,com-Youtube,VX-sigmoid-rw,32768,500,17902725.322934013,14501901.006988999
19,force2vec,com-Youtube,VX-sigmoid-rw,32768,5000,17721724.852183864,14359298.9175169
20,force2vec,com-Youtube,VX-sigmoid-rw,4096,1000,17804824.384555448,14419744.22154676
21,force2vec,com-Youtube,VX-sigmoid-rw,4096,2000,17852827.54647568,14461103.433075696
22,force2vec,com-Youtube,VX-sigmoid-rw,4096,500,18189948.200880095,14729596.559224466
23,force2vec,com-Youtube,VX-sigmoid-rw,4096,5000,17973688.08287492,14559042.880915081
24,force2vec,com-Youtube,VX-sigmoid-rw,512,1000,18026127.177634716,14603427.764531704
25,force2vec,com-Youtube,VX-sigmoid-rw,512,2000,18087071.01610266,14654037.182818273
26,force2vec,com-Youtube,VX-sigmoid-rw,512,500,18405872.88130506,14910507.40314602
27,force2vec,com-Youtube,VX-sigmoid-rw,512,5000,18189266.132062044,14736318.243378479
28,force2vec,com-Youtube,VX-sigmoid-rw,8192,1000,17679077.06249546,14318009.32189685
29,force2vec,com-Youtube,VX-sigmoid-rw,8192,2000,17757268.72241771,14383894.034228427
30,force2vec,com-Youtube,VX-sigmoid-rw,8192,500,18077343.60329961,14639701.17954527
31,force2vec,com-Youtube,VX-sigmoid-rw,8192,5000,17922659.27900193,14518682.608974382
32,force2vec,com-Youtube,VX-tdist-ns,1024,1000,14306223.770020477,11633031.643115051
33,force2vec,com-Youtube,VX-tdist-ns,1024,2000,14802758.567121742,12055289.299151778
34,force2vec,com-Youtube,VX-tdist-ns,1024,500,16678263.579210544,13524016.896546923
35,force2vec,com-Youtube,VX-tdist-ns,1024,5000,15103529.632454013,12279575.226352792
36,force2vec,com-Youtube,VX-tdist-ns,16384,1000,14420235.339290231,11763158.621751403
37,force2vec,com-Youtube,VX-tdist-ns,16384,2000,14887508.119212111,12110014.543039748
38,force2vec,com-Youtube,VX-tdist-ns,16384,500,16725467.956297584,13577034.361169072
39,force2vec,com-Youtube,VX-tdist-ns,16384,5000,15417497.665420627,12525402.054169254
40,force2vec,com-Youtube,VX-tdist-ns,2048,1000,14264418.807007879,11620029.919115316
41,force2vec,com-Youtube,VX-tdist-ns,2048,2000,14631294.935671872,11907072.014802733
42,force2vec,com-Youtube,VX-tdist-ns,2048,500,16731254.46018946,13567943.833094532
43,force2vec,com-Youtube,VX-tdist-ns,2048,5000,14945032.390172437,12125655.211202327
44,force2vec,com-Youtube,VX-tdist-ns,256,1000,14466556.68927961,11762685.784900293
45,force2vec,com-Youtube,VX-tdist-ns,256,2000,14731942.57057401,11990787.324372267
46,force2vec,com-Youtube,VX-tdist-ns,256,500,16551334.47698044,13451601.024557188
47,force2vec,com-Youtube,VX-tdist-ns,256,5000,15213700.808263589,12377173.615420345
48,force2vec,com-Youtube,VX-tdist-ns,32768,1000,14625288.165880272,11939385.711549362
49,force2vec,com-Youtube,VX-tdist-ns,32768,2000,15301791.088121949,12486298.66297435
50,force2vec,com-Youtube,VX-tdist-ns,32768,500,16957310.04295659,13792826.14982472
51,force2vec,com-Youtube,VX-tdist-ns,32768,5000,15946990.803278888,13040491.339168543
52,force2vec,com-Youtube,VX-tdist-ns,4096,1000,14398915.848652298,11710415.428306188
53,force2vec,com-Youtube,VX-tdist-ns,4096,2000,14734748.893814215,11954194.284576088
54,force2vec,com-Youtube,VX-tdist-ns,4096,500,16680280.530753236,13560671.2109562
55,force2vec,com-Youtube,VX-tdist-ns,4096,5000,15075028.726060484,12248618.193492737
56,force2vec,com-Youtube,VX-tdist-ns,512,1000,14362760.893730154,11709239.640322845
57,force2vec,com-Youtube,VX-tdist-ns,512,2000,14722609.338693148,11946341.092931401
58,force2vec,com-Youtube,VX-tdist-ns,512,500,16625352.008728357,13507863.720169637
59,force2vec,com-Youtube,VX-tdist-ns,512,5000,15184470.712724604,12346773.514589133
60,force2vec,com-Youtube,VX-tdist-ns,8192,1000,14546430.676276557,11831063.22887217
61,force2vec,com-Youtube,VX-tdist-ns,8192,2000,14879223.454052744,12095675.949141527
62,force2vec,com-Youtube,VX-tdist-ns,8192,500,16919336.466834217,13752654.205071107
63,force2vec,com-Youtube,VX-tdist-ns,8192,5000,15385693.858245306,12514659.28787495
