,experiment,instance,option,batch,iter,dist_plm,dist_ple
0,force2vec,com-Youtube,VX-sigmoid-rw,1024,1000,17980832.24365528,14751939.711335937
1,force2vec,com-Youtube,VX-sigmoid-rw,1024,2000,18041193.096153058,14803928.72580132
2,force2vec,com-Youtube,VX-sigmoid-rw,1024,500,18363307.759287544,15064615.850756463
3,force2vec,com-Youtube,VX-sigmoid-rw,1024,5000,18162949.19096924,14900737.466775732
4,force2vec,com-Youtube,VX-sigmoid-rw,131072,1000,17299964.925636888,14197010.807832714
5,force2vec,com-Youtube,VX-sigmoid-rw,131072,2000,17383535.67511463,14264873.692430379
6,force2vec,com-Youtube,VX-sigmoid-rw,131072,500,17700663.14601215,14521132.398659104
7,force2vec,com-Youtube,VX-sigmoid-rw,131072,5000,17593617.99330095,14438975.243381286
8,force2vec,com-Youtube,VX-sigmoid-rw,16384,1000,17618216.715612147,14453719.871073833
9,force2vec,com-Youtube,VX-sigmoid-rw,16384,2000,17714657.500929102,14534176.702616192
10,force2vec,com-Youtube,VX-sigmoid-rw,16384,500,18018511.49345444,14778357.36913299
11,force2vec,com-Youtube,VX-sigmoid-rw,16384,5000,17846660.444102302,14641957.387024276
12,force2vec,com-Youtube,VX-sigmoid-rw,2048,1000,17887578.853305146,14673824.812366273
13,force2vec,com-Youtube,VX-sigmoid-rw,2048,2000,17944789.983431596,14720653.478922267
14,force2vec,com-Youtube,VX-sigmoid-rw,2048,500,18278323.245198037,14990520.5063709
15,force2vec,com-Youtube,VX-sigmoid-rw,2048,5000,18063010.933110733,14818776.688399712
16,force2vec,com-Youtube,VX-sigmoid-rw,256,1000,18093591.2680442,14848999.696951529
17,force2vec,com-Youtube,VX-sigmoid-rw,256,2000,18144885.115501545,14889775.050339663
18,force2vec,com-Youtube,VX-sigmoid-rw,256,500,18450542.409936752,15138460.327553382
19,force2vec,com-Youtube,VX-sigmoid-rw,256,5000,18261284.548985723,14985405.234720642
20,force2vec,com-Youtube,VX-sigmoid-rw,262144,1000,17152130.8487862,14074258.703339135
21,force2vec,com-Youtube,VX-sigmoid-rw,262144,2000,17214656.784277067,14126423.083191667
22,force2vec,com-Youtube,VX-sigmoid-rw,262144,500,17569491.295488343,14412440.016647946
23,force2vec,com-Youtube,VX-sigmoid-rw,262144,5000,17427791.712600693,14302302.884521356
24,force2vec,com-Youtube,VX-sigmoid-rw,32768,1000,17559596.991981313,14407755.428076893
25,force2vec,com-Youtube,VX-sigmoid-rw,32768,2000,17614809.145338383,14454277.457336815
26,force2vec,com-Youtube,VX-sigmoid-rw,32768,500,17920304.6660274,14700008.904240165
27,force2vec,com-Youtube,VX-sigmoid-rw,32768,5000,17739747.55920314,14555870.759709537
28,force2vec,com-Youtube,VX-sigmoid-rw,4096,1000,17822543.067715004,14616138.865034716
29,force2vec,com-Youtube,VX-sigmoid-rw,4096,2000,17870639.285298046,14658082.277737696
30,force2vec,com-Youtube,VX-sigmoid-rw,4096,500,18207681.95543868,14931412.007451681
31,force2vec,com-Youtube,VX-sigmoid-rw,4096,5000,17991770.22177296,14757444.803215066
32,force2vec,com-Youtube,VX-sigmoid-rw,512,1000,18044145.06538766,14804009.484052243
33,force2vec,com-Youtube,VX-sigmoid-rw,512,2000,18105286.74677907,14854729.939057626
34,force2vec,com-Youtube,VX-sigmoid-rw,512,500,18424187.62522531,15116102.659951096
35,force2vec,com-Youtube,VX-sigmoid-rw,512,5000,18207617.46643868,14938062.474837113
36,force2vec,com-Youtube,VX-sigmoid-rw,65536,1000,17429710.67836,14300905.248206662
37,force2vec,com-Youtube,VX-sigmoid-rw,65536,2000,17517642.550031323,14374998.021338498
38,force2vec,com-Youtube,VX-sigmoid-rw,65536,500,17806260.176751923,14609027.009967508
39,force2vec,com-Youtube,VX-sigmoid-rw,65536,5000,17671348.78270792,14500996.136583097
40,force2vec,com-Youtube,VX-sigmoid-rw,8192,1000,17696541.995759476,14512981.2415681
41,force2vec,com-Youtube,VX-sigmoid-rw,8192,2000,17774923.167676996,14580274.06503078
42,force2vec,com-Youtube,VX-sigmoid-rw,8192,500,18095051.075342618,14839170.685938543
43,force2vec,com-Youtube,VX-sigmoid-rw,8192,5000,17940675.10732501,14716774.637437612
44,force2vec,com-Youtube,VX-tdist-ns,1024,1000,14320916.483144827,11783610.85426144
45,force2vec,com-Youtube,VX-tdist-ns,1024,2000,14817245.876483781,12199250.749229163
46,force2vec,com-Youtube,VX-tdist-ns,1024,500,16692667.346691119,13696187.14048399
47,force2vec,com-Youtube,VX-tdist-ns,1024,5000,15117841.744789822,12436462.432867901
48,force2vec,com-Youtube,VX-tdist-ns,131072,1000,15681144.392604737,13066234.846521161
49,force2vec,com-Youtube,VX-tdist-ns,131072,2000,16749606.042965306,13982174.941928385
50,force2vec,com-Youtube,VX-tdist-ns,131072,500,17728072.01973935,14632376.115232646
51,force2vec,com-Youtube,VX-tdist-ns,131072,5000,18226519.770499207,15301602.47380905
52,force2vec,com-Youtube,VX-tdist-ns,16384,1000,14435494.08283465,11907170.518525042
53,force2vec,com-Youtube,VX-tdist-ns,16384,2000,14901818.76850024,12259804.177920366
54,force2vec,com-Youtube,VX-tdist-ns,16384,500,16740191.094921662,13745854.558167703
55,force2vec,com-Youtube,VX-tdist-ns,16384,5000,15431881.58470134,12676627.23733966
56,force2vec,com-Youtube,VX-tdist-ns,2048,1000,14278753.39997605,11777433.66813698
57,force2vec,com-Youtube,VX-tdist-ns,2048,2000,14644630.847720617,12056002.33774014
58,force2vec,com-Youtube,VX-tdist-ns,2048,500,16745724.003883243,13730570.528997933
59,force2vec,com-Youtube,VX-tdist-ns,2048,5000,14958698.795494244,12281372.342005773
60,force2vec,com-Youtube,VX-tdist-ns,256,1000,14481655.735041052,11909053.53634138
61,force2vec,com-Youtube,VX-tdist-ns,256,2000,14745795.357387083,12137621.22601268
62,force2vec,com-Youtube,VX-tdist-ns,256,500,16565216.955175396,13620837.804803094
